idloc,edadloc,correo,paginas,telefono,impresa,servicio,nomina,idmercado,tamamer,promo,ropamujer
1524,13,10127,75,34,34929.12,51,30954,5,Grande,2,67454.1777947498
1483,14,13588,95,49,21135.38,63,30433,8,Median,1,65968.6616265729
1489,19,15233,112,49,33716.45,56,13233,1,Pequeño,3,70232.3349196168
1621,1,9199,83,40,26709.66,34,20825,4,Median,2,38116.1856127937
454,8,9582,65,34,34301.96,62,30649,3,Median,3,86511.0634028291
816,17,12704,100,47,39931.07,54,88857,3,Grande,1,83648.9316153744
312,16,14322,94,41,19002.94,55,50137,4,Grande,2,51544.0892281402
1510,1,13483,107,58,38856.14,26,11010,7,Pequeño,2,39657.3869876609
177,1,13311,94,58,20703.15,42,26279,6,Grande,1,51484.9453751229
1091,2,13610,96,41,28614.19,37,21468,3,Median,3,42376.6545275017
1805,20,10046,72,30,18449.2,48,15314,6,Pequeño,3,39702.4874272998
935,13,10635,82,29,34714.04,61,6952,9,Pequeño,3,55172.2638225612
1413,12,11895,106,56,35085.49,45,15746,9,Pequeño,2,63201.4006227617
1180,9,14274,89,44,20930.43,48,24112,2,Median,3,65507.1996051983
478,6,11727,105,55,32430.63,33,5920,2,Pequeño,3,52580.2704355771
814,7,9374,77,33,38325.64,31,3483,9,Pequeño,2,55645.1695490159
1895,2,11753,109,58,27287.87,24,68832,4,Grande,1,42492.449777287
302,4,9220,86,38,34234.88,30,16614,1,Median,3,46713.2061553866
1399,4,10797,100,29,31933.73,15,15426,8,Median,3,27367.6626878273
1809,14,9941,83,34,19533.34,51,17141,3,Median,2,42945.0036819081
658,10,9899,88,33,37735.67,28,83916,6,Grande,1,61047.5156082054
1377,22,9457,88,37,20499.4,63,41627,8,Grande,1,55931.3996499866
1332,11,13070,95,53,24599.31,43,6797,8,Pequeño,3,56540.6750916746
413,3,7037,68,21,28713.26,27,24650,4,Median,2,29336.3311570946
1611,23,9536,75,29,29164.51,49,10336,8,Pequeño,2,36275.9704348067
1792,19,13957,92,43,19660.35,57,13888,5,Median,3,62675.2737851064
668,1,10298,71,31,21771.1,43,22788,8,Median,1,22209.4093382005
1529,1,9937,83,31,21382.33,29,14765,6,Pequeño,3,27473.3002839643
1835,7,9824,79,39,26867.8,42,9213,2,Median,2,35252.4641007043
1349,4,10882,78,36,31680.81,30,8790,3,Median,2,23877.0339683925
1380,12,15202,101,57,31026.12,68,10644,8,Pequeño,3,92453.5373208999
1565,1,15259,111,44,29801.27,19,18900,4,Median,1,50073.2295285822
1582,4,11656,112,46,36650.05,43,14912,3,Pequeño,2,69474.0479210207
1037,8,10536,74,34,36996.82,30,7257,7,Pequeño,2,51306.6783034925
582,7,6720,51,28,39935.25,53,2959,8,Pequeño,3,44033.238767712
1258,14,14692,105,41,39477.38,46,35026,1,Median,3,69855.7961208676
601,3,9650,106,36,18969.92,42,33263,9,Median,1,39344.5986178841
1614,19,13652,100,56,30285.55,46,9206,5,Pequeño,2,54825.1332284454
652,18,9117,81,30,20039.72,44,4735,6,Pequeño,2,35673.9651716303
778,5,6527,57,17,24378.78,43,45741,1,Grande,1,34244.1431091882
90,4,14370,85,59,31109.75,63,17523,9,Grande,3,75818.17
67,7,11330,66,28,28903.27,41,21739,5,Grande,3,44048.71
1995,16,14474,112,49,20015.2,45,20933,8,Grande,2,46617.6062301875
508,9,9601,94,31,19206.92,62,3342,7,Pequeño,3,92719.8799059616
1765,12,9856,77,34,25213.99,58,30758,3,Grande,2,61366.3084967418
660,22,9441,61,38,38957.66,54,16436,8,Median,3,75740.8465545581
903,17,9692,84,31,26230.85,65,63990,5,Grande,1,55051.449541525
1523,15,7933,66,21,26447.02,51,39057,1,Median,2,34479.8836601073
1664,4,9399,77,38,25534.1,17,52070,3,Grande,2,19712.7791245573
1013,4,13771,110,57,25474.86,35,3395,2,Pequeño,2,47483.5620720283
1594,8,9873,100,39,27679.19,39,27433,1,Grande,2,38666.2407112385
849,8,10121,87,34,29279.6,53,15986,9,Median,2,65756.1556523144
1631,24,8156,56,17,23628.54,67,30398,1,Grande,2,42548.0685112595
266,13,14110,103,57,36294.02,67,11527,4,Pequeño,2,91991.3415901674
43,5,9510,79,29,30117.31,41,18818,3,Median,1,41884.14
559,20,4956,61,20,22438.27,68,22899,7,Median,1,40938.3613270705
1220,2,10185,86,35,24339.75,26,20962,3,Median,2,35367.0279360058
613,5,14767,104,50,26499.79,33,11871,3,Median,3,79941.3546192522
888,17,12983,99,48,34557.62,61,35913,5,Grande,2,60338.6378396214
357,13,9367,78,39,27396.71,60,18297,9,Median,2,63249.0204285472
1585,15,14917,105,57,35843.81,67,12284,7,Median,1,64370.736982674
1638,24,11433,108,51,25351.56,49,60648,2,Grande,2,53831.1468498987
1002,21,9482,76,32,36208.86,64,16571,9,Median,1,67715.5733929529
1130,4,11008,71,40,25525.74,41,15649,1,Pequeño,2,39321.9857037974
392,11,10304,87,38,36215.35,34,6010,3,Pequeño,2,46223.2913251036
572,21,9490,78,31,37473.61,52,28624,8,Median,3,56150.0535069119
1451,18,10288,94,39,33662.33,53,21368,4,Grande,2,73080.2930797764
1872,21,2464,57,27,38654.94,64,9152,3,Median,2,66048.9867761658
1688,2,11737,106,42,26463.48,40,30903,6,Median,2,46572.1346799492
1110,25,12691,113,57,39273.76,44,16870,4,Median,3,84553.8114905909
37,1,9173,79,25,33723.18,34,18608,3,Median,3,43817.01
1964,4,9412,75,35,26446.33,61,16202,4,Median,1,43897.2052189991
1788,25,10018,76,33,32886.89,55,14698,7,Median,2,41839.6655629904
885,4,13414,100,49,35237.83,36,46132,4,Grande,2,60197.152412553
1972,2,6693,57,27,25628.88,29,46210,2,Grande,1,21062.385207871
493,5,9871,82,30,20422.68,60,30897,9,Grande,1,67771.9840579949
734,3,9702,82,33,29035.52,28,6644,1,Pequeño,3,39806.6235775337
255,12,9197,85,35,19740.36,48,14121,7,Pequeño,2,40533.1169071482
1930,15,14591,107,58,29100.88,46,19905,9,Pequeño,2,64281.5813108169
182,1,14849,100,43,37187.83,38,9088,7,Pequeño,2,53374.0451234319
1185,2,10221,79,38,27192.98,39,135882,9,Grande,1,35796.9708014647
1947,2,14357,89,53,32806.43,29,29224,7,Grande,1,50243.6059814462
608,9,10264,80,33,32679.53,65,55775,3,Grande,2,84110.0449038587
275,3,10469,78,38,26137.98,34,4360,9,Pequeño,2,34632.6962934368
1252,7,10826,97,36,23954.09,35,27906,9,Median,3,54352.6349866366
1181,8,13872,97,49,37529.83,47,30478,6,Grande,2,79574.6771780886
426,3,7869,65,28,24387.03,43,29345,4,Median,3,60527.5192124755
1290,12,6236,65,21,35133.71,50,5295,2,Pequeño,3,37563.6424408432
1360,20,7462,64,23,27058.29,62,20015,6,Grande,1,39849.0353916883
328,3,1586,61,28,34040.28,43,11663,5,Pequeño,3,22245.7215162446
1428,24,9216,73,32,29145.93,53,30270,6,Median,3,49025.5839950498
1288,24,10146,84,33,21542.89,54,26989,8,Grande,2,48885.6642150954
1799,18,10154,109,31,26335.62,66,10175,4,Pequeño,3,68592.4598448796
352,2,13586,91,41,26952.56,37,36085,5,Median,3,53626.4562791671
1115,3,9688,56,33,24356.35,34,69034,5,Grande,2,15230.0743013088
1931,14,13726,103,59,31798.06,58,10673,8,Pequeño,2,82225.479885351
1391,25,9620,76,35,35312.74,60,4696,3,Median,2,55964.8247714292
953,19,10821,61,31,32751.91,55,24107,5,Median,2,67601.2538949594
92,15,11722,57,42,32105.83,50,18396,9,Grande,1,31514.68
1292,24,9694,79,29,28383.27,60,17720,3,Median,1,57369.7519734412
1718,10,9369,105,40,29223,35,6494,7,Pequeño,2,65072.6639678515
1055,4,14566,92,42,30881.98,29,4126,3,Pequeño,2,38617.2152878126
205,1,9390,74,38,36569.35,25,8083,6,Pequeño,2,53847.219347393
21,11,11120,87,29,25721.56,30,23252,2,Grande,1,46766.94
1580,11,13283,100,41,38928.62,28,5962,3,Pequeño,2,56262.6899909852
192,4,10404,90,30,28831.43,29,27192,8,Grande,2,26267.0257857802
475,4,10200,101,40,27524.54,21,7210,5,Pequeño,3,40606.9473566079
458,9,11994,97,50,23222.12,29,50897,1,Grande,1,48041.465180936
168,4,11044,73,31,23464.22,19,32938,2,Grande,2,41572.324401796
523,23,9649,72,36,30632.55,64,37881,5,Grande,2,52872.0000634055
391,2,13619,96,54,20036.86,43,24489,9,Grande,2,49214.3932625957
143,4,11496,89,45,18668.33,16,29108,9,Median,3,29696.4906514276
1235,16,9430,72,30,19409.04,49,19981,3,Grande,1,68729.5984146668
749,13,10879,87,34,35853.34,50,30704,7,Median,1,85963.0720983611
1098,1,14397,110,57,31220.15,41,18872,9,Median,3,67399.2187017206
1210,2,10488,77,36,24890.12,24,3846,3,Pequeño,3,35364.9697257919
408,8,9983,67,30,35791.67,31,10279,3,Pequeño,2,39421.8666566561
1678,1,9293,96,34,20886.76,16,25187,7,Median,1,28952.6664388091
913,3,10689,79,37,36042.35,25,11855,4,Pequeño,3,35879.758960362
1919,8,14634,111,46,26931.56,33,32394,2,Grande,1,58283.9085476307
639,4,9647,107,33,35320.3,27,62761,8,Grande,2,49099.605486464
877,1,1198,66,27,30595.58,34,5348,3,Median,1,7355.91878005117
653,12,10471,80,31,21256.28,60,14997,6,Pequeño,2,52372.1035220527
411,11,14373,112,54,36059.85,44,7444,5,Pequeño,3,68493.2507577745
1926,23,5752,65,18,21039.29,61,13887,1,Pequeño,2,45277.249739574
891,9,13599,98,52,38591.46,46,3325,7,Pequeño,3,59952.7032986609
1636,1,11376,113,51,35229.68,35,13289,6,Median,3,43175.6498305889
1222,13,10406,74,29,27026.77,50,8934,8,Pequeño,2,45648.6363251039
1644,24,9369,83,37,38410.33,50,35864,6,Grande,1,51981.3488093939
1405,17,9224,87,35,19654.4,54,26510,5,Grande,1,45119.9562859837
1330,18,9993,76,40,19991.65,66,40842,7,Grande,1,49677.3174968382
1052,6,10349,76,40,32089.8,34,28600,8,Median,1,61575.8191901826
142,1,11179,102,34,24624.09,36,23175,6,Median,3,42063.0260536086
1221,18,9656,70,31,32178.32,49,28175,5,Median,1,60632.778424331
1753,3,10061,86,34,34161.45,24,25531,6,Grande,2,22235.7936373341
1680,7,9622,78,31,30958.06,33,16179,2,Median,2,41092.9421041804
36,5,9174,90,36,28031.41,36,14446,3,Median,2,39468.25
701,23,10214,60,34,35508.27,54,25880,1,Grande,1,41980.818999924
772,10,9645,86,34,39266.66,28,28264,2,Grande,2,45159.7402214015
671,13,10433,88,36,30757.83,67,28715,6,Grande,1,65165.3579387958
269,11,10714,75,38,37716.93,37,12254,5,Median,3,58054.2152411176
1731,1,10800,52,37,38873.86,18,9440,3,Pequeño,3,21443.8728518178
602,1,9713,80,34,34189.79,39,6336,9,Pequeño,2,38384.3757317134
867,23,11378,114,55,36092.45,45,6127,3,Median,2,70980.9118212187
1780,8,11523,113,42,35665.21,41,36825,9,Median,1,83544.9901184867
125,12,11077,87,30,22627.14,45,11330,3,Median,3,59254.1062990153
622,14,14171,91,57,30511.46,58,33761,1,Median,2,80373.9998128458
1687,7,10702,73,31,38775.72,30,20373,9,Median,3,47144.1222822011
1062,15,10865,54,29,33601.69,58,11855,8,Grande,1,104256.367215253
167,5,8403,55,27,39614.01,32,7137,2,Pequeño,2,40816.4296471499
1113,25,13749,99,52,33318.8,48,42090,2,Grande,1,51232.9194225136
1076,2,10457,72,30,29338.4,43,9032,3,Pequeño,2,34087.9691563298
1003,21,11092,82,33,38558.83,60,47334,1,Grande,1,87398.9561654298
1473,4,9584,52,29,38131.05,16,35021,5,Grande,2,40360.9581441279
1065,15,13411,114,53,36698.28,61,16688,7,Grande,1,94725.906288872
1066,15,9526,80,40,35733.5,50,26190,9,Median,1,54525.9294995211
1858,6,10049,78,29,31892.94,36,18358,9,Pequeño,3,32892.7148983211
1783,16,12006,93,41,32974.81,44,62106,7,Grande,1,59235.523558752
68,5,10922,110,45,23991.03,36,18916,5,Grande,2,44370.37
1814,7,9508,80,31,31064.37,48,8315,7,Median,2,67708.4654249971
1294,11,15074,94,48,22555.01,47,39502,3,Grande,2,57828.4123941648
207,2,10916,62,35,26166.1,28,26108,3,Grande,2,28673.656573078
407,17,10357,73,33,36785.54,68,38314,3,Grande,1,65297.4728263543
1630,5,9354,80,32,20921.4,33,19078,1,Median,1,37930.1218872838
215,11,12372,100,56,23498.38,32,8825,7,Pequeño,3,46925.2009666959
292,1,12371,107,46,33686.38,42,10285,2,Pequeño,3,51096.2563803287
1602,23,9619,87,34,39835.57,60,11471,3,Median,3,59498.6812955664
1609,12,10697,76,28,36297.8,43,18377,2,Median,3,64558.9948410094
1422,1,9786,78,38,32079.15,36,27575,4,Median,1,25603.6181248886
512,22,11072,103,39,21066.64,44,28006,6,Median,3,50453.062000328
1355,11,9877,72,38,22224.14,29,5837,1,Median,1,26810.7283044729
1157,14,10461,74,37,30826.4,48,72118,9,Grande,2,64218.1832105055
1763,13,9554,71,36,20168.57,61,47781,2,Grande,2,42760.3383803074
141,8,10096,88,36,36631.44,31,10983,8,Median,3,72087.6582628631
201,2,13017,114,45,23189.34,19,28441,5,Grande,2,52597.244496391
678,3,9875,76,30,27104.05,19,9899,4,Pequeño,2,30398.2834077343
339,20,9319,55,28,25599.68,66,10904,9,Pequeño,3,62936.4644886232
516,2,11150,88,37,35073.82,40,22602,4,Median,1,44351.4623811993
1920,17,10775,75,30,34066.22,52,11157,7,Pequeño,2,44763.8860243598
80,6,11611,75,40,23542.26,41,18873,8,Median,3,25647.49
1739,1,8600,52,27,22083.13,39,7002,4,Pequeño,2,27338.0934951236
422,7,11120,59,28,24518.52,49,11898,9,Median,2,43377.6857608365
1503,20,6172,58,22,28896.96,47,55033,4,Grande,2,45832.7291397034
596,8,9395,88,31,19178.31,30,71320,2,Grande,1,40725.3160222698
1922,9,10477,86,30,19121.65,39,9435,9,Grande,1,46561.2884029573
1536,20,13385,109,42,22064.9,64,17342,9,Median,2,54438.5428206163
553,4,11862,107,44,25122.39,36,8322,3,Pequeño,3,49821.8005556438
1830,2,9327,86,38,27742.32,41,20135,1,Median,1,40742.1642410883
942,1,10818,100,33,34512.53,28,8014,3,Median,2,33205.8794072362
11,1,8081,66,35,22723.68,22,28484,1,Grande,3,18103.06
1348,2,10772,78,40,20013.45,18,7500,9,Pequeño,3,28359.9365732911
545,17,14319,100,43,32464.56,45,29578,3,Grande,1,51961.0299011572
19,9,8761,87,28,26777.6,18,24335,1,Grande,2,33238.46
1937,7,11493,92,54,26642,35,4326,8,Pequeño,2,58956.5726161109
1640,23,10357,55,37,39323.17,50,31690,3,Grande,1,42493.7849047891
223,24,12300,101,41,31031.1,67,8946,5,Median,1,70886.026732044
1327,4,9620,91,34,21890.68,56,19303,1,Median,2,34905.7015006432
1283,1,10472,53,34,23640.93,25,68335,6,Grande,1,31651.635914831
1502,3,9167,80,39,39943.1,37,10951,4,Pequeño,2,50561.3620991923
874,13,12850,105,44,34970.83,61,45723,1,Grande,2,76062.0648769031
1376,12,10475,64,32,34702.27,61,3423,8,Pequeño,3,75830.1215544711
1860,1,10945,61,33,29450.71,24,15503,7,Median,1,30380.9271269502
401,18,10666,85,37,26993.83,68,24136,2,Grande,1,73486.0462566338
417,7,11177,86,30,39877.66,62,18829,1,Median,2,99804.3830894374
765,3,10599,74,28,21615.39,28,53765,5,Grande,2,24175.0972983914
449,8,10560,83,32,19348.89,28,40877,7,Median,3,36389.6411812611
593,4,9404,82,35,37097.41,17,20995,5,Median,1,24705.5106833534
1517,19,9116,85,35,26001.88,60,35126,4,Grande,1,64893.7240500955
1152,21,12119,109,49,20937.66,66,79803,9,Grande,2,65900.9758734164
1643,11,9427,81,40,23205.94,29,35053,9,Grande,2,33380.678323005
59,24,10195,85,43,31706.32,40,24586,5,Grande,1,61179.2
1505,4,11976,114,53,22117.93,26,15115,3,Median,2,36864.7563454814
963,6,10555,106,37,39610.46,32,45837,5,Grande,1,48751.1827940915
1162,4,13808,96,53,29017.59,41,10371,6,Pequeño,3,64448.8779265404
1907,20,10465,76,29,25585.54,52,18427,4,Grande,1,34888.4206081072
788,9,9673,72,30,24999.9,54,17241,7,Median,3,65175.4455710677
374,3,10873,74,28,28246.04,15,48678,7,Grande,2,30880.7894079132
262,15,10578,82,33,31796.63,55,9902,2,Pequeño,2,46229.6615950507
1049,5,12471,98,53,18751.56,38,10212,2,Median,1,47581.633352598
1618,18,9367,68,37,32153,44,8832,7,Pequeño,3,21857.2244861892
793,18,9587,83,38,20929.89,43,13115,4,Pequeño,3,49547.1072244581
1077,2,9742,52,31,25612.02,22,11728,2,Pequeño,2,21416.9850657166
1154,4,10005,70,37,34271.52,29,81475,1,Grande,2,32072.0477816589
404,2,10058,75,36,20748.75,41,47367,7,Median,2,37881.8871836327
342,12,10333,87,31,38807.54,51,32326,9,Median,2,53935.9620001522
432,22,10734,88,38,26228.13,61,17152,5,Median,2,51866.9785078191
282,1,10513,107,35,34881.12,42,41292,8,Median,1,65225.4132731366
969,21,10116,72,37,21765.13,60,96247,2,Grande,1,58173.798081774
790,7,7044,62,26,21144.72,35,10762,8,Median,2,24699.5612093668
806,5,9321,86,33,31822.27,58,44319,1,Grande,2,70894.5265986035
1031,3,10571,102,31,37106.75,39,11807,7,Pequeño,3,61849.447575784
1197,19,10810,67,30,27889.74,43,16176,1,Median,3,48038.2472372518
128,7,10411,71,40,21122.04,51,10485,7,Pequeño,2,50875.1604301043
1159,1,9940,85,37,28865.61,41,16690,4,Median,2,42632.2847056539
1193,16,13761,113,55,35725.23,44,34288,9,Grande,2,65493.022900847
1500,4,12016,110,46,37548.74,30,10150,9,Pequeño,3,32731.5618920145
64,22,10430,91,30,24608.19,45,23747,5,Grande,3,44153.56
296,12,7718,54,18,23007.19,49,7026,6,Pequeño,3,43251.3594061081
1067,15,14359,114,44,35926.7,65,10683,4,Pequeño,3,74494.732844321
459,21,9399,72,35,39883.41,56,9836,4,Pequeño,3,60351.8103716908
1545,6,11748,101,46,39994.7,59,41067,1,Grande,1,74868.3329298401
203,4,13095,108,57,39797.69,42,17976,5,Median,2,49962.5514588661
887,3,12772,89,49,36321.23,38,27825,6,Grande,2,36393.8230801448
224,22,14088,114,56,36706.87,48,11433,1,Median,3,85723.2889508155
1043,18,12696,113,51,21184.81,60,8850,2,Median,1,68811.9465171417
785,5,12166,102,52,19490.65,43,38409,1,Median,2,48571.1943328642
17,10,8526,64,24,35957.27,28,26374,1,Grande,3,37180.05
1670,19,10828,88,29,39708.82,48,6584,8,Pequeño,3,55660.0305222762
1908,11,13953,106,44,29140.49,32,11749,3,Pequeño,2,74503.03498698
540,3,10373,73,28,22672.64,38,23000,5,Grande,2,38923.4715375675
775,16,9686,81,39,29443.89,53,27357,2,Grande,2,49341.4042855302
477,5,11923,103,54,28754.99,29,6210,1,Pequeño,3,60634.2145180446
221,1,10354,73,28,29975.56,38,54581,8,Grande,1,29031.8790220381
1712,3,11727,91,49,21397.08,43,7493,3,Median,1,40001.5658665972
798,10,9874,77,38,32002.34,41,10472,5,Pequeño,3,64314.472222575
605,24,13111,104,44,37935.61,54,46501,2,Grande,2,85326.3320097211
1147,3,9953,55,36,23365.01,30,12601,4,Median,1,19864.0525414358
